Experiment,Dataset,m,Time(us)
matrixproduct,2,10,7
matrixproductoptimized,2,10,9
strassen,2,10,80
matrixproduct,3,20,45
matrixproductoptimized,3,20,38
strassen,3,20,847
matrixproduct,4,30,182
matrixproductoptimized,4,30,150
strassen,4,30,826
matrixproduct,5,40,393
matrixproductoptimized,5,40,272
strassen,5,40,4563
matrixproduct,6,50,762
matrixproductoptimized,6,50,559
strassen,6,50,9034
matrixproduct,7,60,1229
matrixproductoptimized,7,60,891
strassen,7,60,4505
matrixproduct,8,70,2481
matrixproductoptimized,8,70,1445
strassen,8,70,29189
matrixproduct,9,80,2927
matrixproductoptimized,9,80,2056
strassen,9,80,31994
matrixproduct,10,90,6787
matrixproductoptimized,10,90,3440
strassen,10,90,40264
matrixproduct,11,100,5715
matrixproductoptimized,11,100,7912
strassen,11,100,37634
matrixproduct,12,110,7509
matrixproductoptimized,12,110,5853
strassen,12,110,32047
matrixproduct,13,120,9647
matrixproductoptimized,13,120,6992
strassen,13,120,38319
matrixproduct,14,130,12586
matrixproductoptimized,14,130,9479
strassen,14,130,252042
matrixproduct,15,140,15598
matrixproductoptimized,15,140,11173
strassen,15,140,252750
matrixproduct,16,150,31401
matrixproductoptimized,16,150,18756
strassen,16,150,217706
matrixproduct,17,160,25060
matrixproductoptimized,17,160,17038
strassen,17,160,247495
matrixproduct,18,170,38649
matrixproductoptimized,18,170,26315
strassen,18,170,348107
matrixproduct,19,180,67191
matrixproductoptimized,19,180,38004
strassen,19,180,438963
matrixproduct,20,190,91783
matrixproductoptimized,20,190,51041
strassen,20,190,415723
