Experiment,Dataset,m,Time(us)
matrixproduct,2,5,2
matrixproductoptimized,2,5,2
strassen,2,5,82
matrixproduct,3,10,8
matrixproductoptimized,3,10,8
strassen,3,10,602
matrixproduct,4,15,26
matrixproductoptimized,4,15,23
strassen,4,15,621
matrixproduct,5,20,62
matrixproductoptimized,5,20,47
strassen,5,20,4041
matrixproduct,6,25,123
matrixproductoptimized,6,25,93
strassen,6,25,7888
matrixproduct,7,30,202
matrixproductoptimized,7,30,155
strassen,7,30,4553
matrixproduct,8,35,330
matrixproductoptimized,8,35,250
strassen,8,35,44142
matrixproduct,9,40,706
matrixproductoptimized,9,40,356
strassen,9,40,39803
matrixproduct,10,45,729
matrixproductoptimized,10,45,536
strassen,10,45,46226
matrixproduct,11,50,1106
matrixproductoptimized,11,50,795
strassen,11,50,50017
matrixproduct,12,55,1691
matrixproductoptimized,12,55,1561
strassen,12,55,55900
matrixproduct,13,60,2463
matrixproductoptimized,13,60,1764
strassen,13,60,76371
matrixproduct,14,65,7199
matrixproductoptimized,14,65,2391
strassen,14,65,364218
matrixproduct,15,70,5289
matrixproductoptimized,15,70,4643
strassen,15,70,393727
matrixproduct,16,75,5249
matrixproductoptimized,16,75,3857
strassen,16,75,374755
matrixproduct,17,80,6345
matrixproductoptimized,17,80,5020
strassen,17,80,379614
matrixproduct,18,85,8752
matrixproductoptimized,18,85,5587
strassen,18,85,461974
matrixproduct,19,90,9461
matrixproductoptimized,19,90,12313
strassen,19,90,445510
matrixproduct,20,95,10682
matrixproductoptimized,20,95,14751
strassen,20,95,368179
