Experiment,Dataset,Entries,Time(us)
bubblesort,input_1.txt,500,803
insertionsort,input_1.txt,500,241
mergesort,input_1.txt,500,154
quicksort,input_1.txt,500,45
stlsort,input_1.txt,500,88
bubblesort,input_2.txt,1500,7165
insertionsort,input_2.txt,1500,2297
mergesort,input_2.txt,1500,488
quicksort,input_2.txt,1500,150
stlsort,input_2.txt,1500,187
bubblesort,input_3.txt,3000,35795
insertionsort,input_3.txt,3000,11601
mergesort,input_3.txt,3000,1026
quicksort,input_3.txt,3000,320
stlsort,input_3.txt,3000,420
bubblesort,input_4.txt,5000,109491
insertionsort,input_4.txt,5000,30847
mergesort,input_4.txt,5000,2258
quicksort,input_4.txt,5000,584
stlsort,input_4.txt,5000,852
bubblesort,input_5.txt,7500,247438
insertionsort,input_5.txt,7500,72883
mergesort,input_5.txt,7500,3274
quicksort,input_5.txt,7500,959
stlsort,input_5.txt,7500,1142
bubblesort,input_6.txt,10500,543393
insertionsort,input_6.txt,10500,183677
mergesort,input_6.txt,10500,6278
quicksort,input_6.txt,10500,1871
stlsort,input_6.txt,10500,2349
bubblesort,input_7.txt,14000,1704013
insertionsort,input_7.txt,14000,429834
mergesort,input_7.txt,14000,10326
quicksort,input_7.txt,14000,3368
stlsort,input_7.txt,14000,3987
bubblesort,input_8.txt,18000,2468385
insertionsort,input_8.txt,18000,530312
mergesort,input_8.txt,18000,13310
quicksort,input_8.txt,18000,4302
stlsort,input_8.txt,18000,8138
bubblesort,input_9.txt,22500,2645553
insertionsort,input_9.txt,22500,702515
mergesort,input_9.txt,22500,12184
quicksort,input_9.txt,22500,4105
stlsort,input_9.txt,22500,5219
bubblesort,input_10.txt,27500,3586835
insertionsort,input_10.txt,27500,1034941
mergesort,input_10.txt,27500,13856
quicksort,input_10.txt,27500,4561
stlsort,input_10.txt,27500,6903
