Experiment,Dataset,Entries,Time(us)
bubblesort,input_randomized_1.txt,250,229
bubblesort,input_randomized_2.txt,500,901
bubblesort,input_randomized_3.txt,750,2144
bubblesort,input_randomized_4.txt,1000,4149
bubblesort,input_randomized_5.txt,1250,5803
bubblesort,input_randomized_6.txt,1500,8876
bubblesort,input_randomized_7.txt,1750,11753
bubblesort,input_randomized_8.txt,2000,17772
bubblesort,input_randomized_9.txt,2250,22545
bubblesort,input_randomized_10.txt,2500,25311
bubblesort,input_randomized_11.txt,2750,32226
bubblesort,input_randomized_12.txt,3000,42030
bubblesort,input_randomized_13.txt,3250,51583
bubblesort,input_randomized_14.txt,3500,60483
bubblesort,input_randomized_15.txt,3750,77271
bubblesort,input_randomized_16.txt,4000,95171
bubblesort,input_randomized_17.txt,4250,109012
bubblesort,input_randomized_18.txt,4500,144887
bubblesort,input_randomized_19.txt,4750,153832
bubblesort,input_randomized_20.txt,5000,182217
bubblesort,input_partial_1.txt,250,355
bubblesort,input_partial_2.txt,500,1454
bubblesort,input_partial_3.txt,750,3089
bubblesort,input_partial_4.txt,1000,4245
bubblesort,input_partial_5.txt,1250,5967
bubblesort,input_partial_6.txt,1500,9088
bubblesort,input_partial_7.txt,1750,11916
bubblesort,input_partial_8.txt,2000,16472
bubblesort,input_partial_9.txt,2250,19949
bubblesort,input_partial_10.txt,2500,30749
bubblesort,input_partial_11.txt,2750,28253
bubblesort,input_partial_12.txt,3000,38443
bubblesort,input_partial_13.txt,3250,45421
bubblesort,input_partial_14.txt,3500,52793
bubblesort,input_partial_15.txt,3750,55411
bubblesort,input_partial_16.txt,4000,89013
bubblesort,input_partial_17.txt,4250,74261
bubblesort,input_partial_18.txt,4500,97563
bubblesort,input_partial_19.txt,4750,114155
bubblesort,input_partial_20.txt,5000,120856
bubblesort,input_semi_1.txt,250,321
bubblesort,input_semi_2.txt,500,1546
bubblesort,input_semi_3.txt,750,3502
bubblesort,input_semi_4.txt,1000,5776
bubblesort,input_semi_5.txt,1250,20611
bubblesort,input_semi_6.txt,1500,13846
bubblesort,input_semi_7.txt,1750,27551
bubblesort,input_semi_8.txt,2000,23262
bubblesort,input_semi_9.txt,2250,32539
bubblesort,input_semi_10.txt,2500,43980
bubblesort,input_semi_11.txt,2750,46764
bubblesort,input_semi_12.txt,3000,53947
bubblesort,input_semi_13.txt,3250,79180
bubblesort,input_semi_14.txt,3500,71022
bubblesort,input_semi_15.txt,3750,101559
bubblesort,input_semi_16.txt,4000,114744
bubblesort,input_semi_17.txt,4250,126254
bubblesort,input_semi_18.txt,4500,138485
bubblesort,input_semi_19.txt,4750,146946
bubblesort,input_semi_20.txt,5000,159738
bubblesort,input_backsorted_1.txt,250,494
bubblesort,input_backsorted_2.txt,500,1853
bubblesort,input_backsorted_3.txt,750,3600
bubblesort,input_backsorted_4.txt,1000,6346
bubblesort,input_backsorted_5.txt,1250,10147
bubblesort,input_backsorted_6.txt,1500,22812
bubblesort,input_backsorted_7.txt,1750,32068
bubblesort,input_backsorted_8.txt,2000,28439
bubblesort,input_backsorted_9.txt,2250,32683
bubblesort,input_backsorted_10.txt,2500,47248
bubblesort,input_backsorted_11.txt,2750,56276
bubblesort,input_backsorted_12.txt,3000,71137
bubblesort,input_backsorted_13.txt,3250,77229
bubblesort,input_backsorted_14.txt,3500,108842
bubblesort,input_backsorted_15.txt,3750,95452
bubblesort,input_backsorted_16.txt,4000,135849
bubblesort,input_backsorted_17.txt,4250,133612
bubblesort,input_backsorted_18.txt,4500,144796
bubblesort,input_backsorted_19.txt,4750,173470
bubblesort,input_backsorted_20.txt,5000,202690
insertionsort,input_randomized_1.txt,250,103
insertionsort,input_randomized_2.txt,500,425
insertionsort,input_randomized_3.txt,750,963
insertionsort,input_randomized_4.txt,1000,1883
insertionsort,input_randomized_5.txt,1250,4555
insertionsort,input_randomized_6.txt,1500,5189
insertionsort,input_randomized_7.txt,1750,5171
insertionsort,input_randomized_8.txt,2000,10415
insertionsort,input_randomized_9.txt,2250,8536
insertionsort,input_randomized_10.txt,2500,11565
insertionsort,input_randomized_11.txt,2750,13471
insertionsort,input_randomized_12.txt,3000,15408
insertionsort,input_randomized_13.txt,3250,17703
insertionsort,input_randomized_14.txt,3500,31792
insertionsort,input_randomized_15.txt,3750,36208
insertionsort,input_randomized_16.txt,4000,34987
insertionsort,input_randomized_17.txt,4250,31789
insertionsort,input_randomized_18.txt,4500,43699
insertionsort,input_randomized_19.txt,4750,38879
insertionsort,input_randomized_20.txt,5000,51869
insertionsort,input_partial_1.txt,250,89
insertionsort,input_partial_2.txt,500,363
insertionsort,input_partial_3.txt,750,751
insertionsort,input_partial_4.txt,1000,1358
insertionsort,input_partial_5.txt,1250,1781
insertionsort,input_partial_6.txt,1500,1557
insertionsort,input_partial_7.txt,1750,2235
insertionsort,input_partial_8.txt,2000,2743
insertionsort,input_partial_9.txt,2250,3548
